geography,geographic_area_name,families_number,families_number_moe,families_percent_distribution,families_percent_distribution_moe,families_median_income,families_median_income_moe
1400000US48027021906,Census Tract 219.06; Bell County; Texas,1242,180,1242,180,107143,23459
1400000US48027021907,Census Tract 219.07; Bell County; Texas,1743,316,1743,316,81411,21437
1400000US48027021908,Census Tract 219.08; Bell County; Texas,1804,400,1804,400,93885,5551
1400000US48027022001,Census Tract 220.01; Bell County; Texas,1063,279,1063,279,40458,16978
1400000US48027022002,Census Tract 220.02; Bell County; Texas,1320,265,1320,265,116818,51216
1400000US48027022101,Census Tract 221.01; Bell County; Texas,1075,207,1075,207,50417,11912
1400000US48027022103,Census Tract 221.03; Bell County; Texas,1343,226,1343,226,64757,14698
1400000US48027022104,Census Tract 221.04; Bell County; Texas,1128,224,1128,224,52574,13848
1400000US48027022105,Census Tract 221.05; Bell County; Texas,603,122,603,122,54632,13369
1400000US48027022200,Census Tract 222; Bell County; Texas,1323,266,1323,266,52103,6381
1400000US48027022300,Census Tract 223; Bell County; Texas,1031,189,1031,189,35388,10952
1400000US48027022401,Census Tract 224.01; Bell County; Texas,1551,333,1551,333,67039,28500
1400000US48027022402,Census Tract 224.02; Bell County; Texas,1995,202,1995,202,109681,10835
1400000US48027022403,Census Tract 224.03; Bell County; Texas,1246,166,1246,166,75000,26039
1400000US48027022405,Census Tract 224.05; Bell County; Texas,518,260,518,260,65727,21869
1400000US48027022406,Census Tract 224.06; Bell County; Texas,965,198,965,198,90083,17275
1400000US48027022407,Census Tract 224.07; Bell County; Texas,890,182,890,182,78095,38663
1400000US48027022501,Census Tract 225.01; Bell County; Texas,828,156,828,156,42200,12770
1400000US48027022503,Census Tract 225.03; Bell County; Texas,1115,231,1115,231,80479,25546
1400000US48027022504,Census Tract 225.04; Bell County; Texas,2180,337,2180,337,88165,14804
1400000US48027022600,Census Tract 226; Bell County; Texas,854,170,854,170,47024,5727
1400000US48027022801,Census Tract 228.01; Bell County; Texas,509,134,509,134,32341,4831
1400000US48027022900,Census Tract 229; Bell County; Texas,1137,316,1137,316,28551,12203
1400000US48027023001,Census Tract 230.01; Bell County; Texas,1372,325,1372,325,69289,12240
1400000US48027023002,Census Tract 230.02; Bell County; Texas,785,182,785,182,97946,17779
1400000US48027023103,Census Tract 231.03; Bell County; Texas,1238,259,1238,259,50322,11075
1400000US48027023104,Census Tract 231.04; Bell County; Texas,636,300,636,300,70583,26077
1400000US48027023109,Census Tract 231.09; Bell County; Texas,920,161,920,161,71429,9195
1400000US48027023110,Census Tract 231.10; Bell County; Texas,681,183,681,183,37413,28201
1400000US48027023111,Census Tract 231.11; Bell County; Texas,1268,228,1268,228,64250,14946
1400000US48027023112,Census Tract 231.12; Bell County; Texas,1004,198,1004,198,66019,10362
1400000US48027023113,Census Tract 231.13; Bell County; Texas,1164,170,1164,170,57672,16164
1400000US48027023114,Census Tract 231.14; Bell County; Texas,1247,214,1247,214,51566,15984
1400000US48027023115,Census Tract 231.15; Bell County; Texas,1330,337,1330,337,105486,32154
1400000US48027023116,Census Tract 231.16; Bell County; Texas,1487,376,1487,376,81205,2864
1400000US48027023117,Census Tract 231.17; Bell County; Texas,1325,437,1325,437,73270,15574
1400000US48027023118,Census Tract 231.18; Bell County; Texas,1710,304,1710,304,74029,12743
1400000US48027023201,Census Tract 232.01; Bell County; Texas,376,76,376,76,85556,37433
1400000US48027023202,Census Tract 232.02; Bell County; Texas,682,163,682,163,49000,11927
1400000US48027023203,Census Tract 232.03; Bell County; Texas,580,114,580,114,55833,5241
1400000US48027023204,Census Tract 232.04; Bell County; Texas,229,69,229,69,61477,21456
1400000US48027023301,Census Tract 233.01; Bell County; Texas,1649,194,1649,194,103801,18231
1400000US48027023302,Census Tract 233.02; Bell County; Texas,1074,186,1074,186,102348,19520
1400000US48027023402,Census Tract 234.02; Bell County; Texas,1603,194,1603,194,90480,11711
1400000US48027023404,Census Tract 234.04; Bell County; Texas,1440,276,1440,276,99419,31320
1400000US48027023405,Census Tract 234.05; Bell County; Texas,925,109,925,109,104547,10034
1400000US48027023406,Census Tract 234.06; Bell County; Texas,1131,183,1131,183,112250,34241
1400000US48027023500,Census Tract 235; Bell County; Texas,303,92,303,92,40469,15048
1400000US48027980001,Census Tract 9800.01; Bell County; Texas,0,15,0,15,-,**
1400000US48027980002,Census Tract 9800.02; Bell County; Texas,0,15,0,15,-,**
1400000US48027980003,Census Tract 9800.03; Bell County; Texas,0,15,0,15,-,**
1400000US48029110100,Census Tract 1101; Bexar County; Texas,574,241,574,241,-,**
1400000US48029110300,Census Tract 1103; Bexar County; Texas,491,162,491,162,60917,26511
1400000US48029110500,Census Tract 1105; Bexar County; Texas,580,120,580,120,15595,10848
1400000US48029110600,Census Tract 1106; Bexar County; Texas,342,102,342,102,35000,19521
1400000US48029110700,Census Tract 1107; Bexar County; Texas,150,46,150,46,44737,39634
1400000US48029111000,Census Tract 1110; Bexar County; Texas,475,99,475,99,61985,22133
1400000US48029111100,Census Tract 1111; Bexar County; Texas,619,152,619,152,119356,25697
1400000US48029120100,Census Tract 1201; Bexar County; Texas,843,131,843,131,96250,19356
1400000US48029120301,Census Tract 1203.01; Bexar County; Texas,779,165,779,165,176134,42086
1400000US48029120302,Census Tract 1203.02; Bexar County; Texas,1129,185,1129,185,"250,000+",***
1400000US48029120401,Census Tract 1204.01; Bexar County; Texas,609,121,609,121,151094,53926
